洗濯	せんたく	laundering; washing	
磨く	みがく	to polish; to shine; to brush (e.g. teeth	
掃除	そうじ	cleaning	
果物	くだもの	fruit	
鞄	かばん	bag; handbag; briefcase	
黄色い	きいろい	yellow	
立派	りっぱ	splendid; handsome; elegant; prominent; legitimate	
向こう	むこう	the other side; the other party; opponent	
出口	でぐち	exit; exit ramp	
降る	ふる	fall (i.e. rain/snow); come down; precipitate	
机	つくえ	desk; table	
掛ける	かける	to hang; to expend (time, money)	
階段	かいだん	steps; flight of stairs	
多分	たぶん	probably; perhaps	
皆	みんな	everybody; everything	
大人	おとな	adult	
遠い	とおい	far; distant	
薄い	うすい	thin; weak; pale	
おばさん	おばさん	aunt	
閉まる	しまる	to be shut; to close; to be closed	
角	かど	corner; edge; angle	
押す	おす	to push; to press	
辛い	からい	spicy; salty; bitter; strict	
止まる	とまる	to stop; to come to a halt	
緑	みどり	green; foliage	
並べる	ならべる	line up; display; set up	
曇り	くもり	cloudiness; cloudy weather	
冷蔵庫	れいぞうこ	refrigerator	
牛乳	ぎゅうにゅう	milk	
料理	りょうり	cooking; handling	
卵	たまご	egg	
奇麗	きれい	beautiful, pretty, neat	
吹く	ふく	blow; play on a wind instrument	
散歩	さんぽ	walk; stroll	
痛い	いたい	painful	
河	かわ	river; stream	
練習	れんしゅう	practice	
晩	ばん	evening; counter for nights	
池	いけ	pond	
～枚	～まい	counter for flat things (pieces of paper, shirts, coins, etc.)	
作文	さくぶん	composition; essay	
結構	けっこう	wonderful; quite; good enough	
一緒	いっしょ	together	
要る	いる	need; require	
飲み物	のみもの	drink; beverage	
カップ	カップ	cup	
死ぬ	しぬ	to die	
本当	ほんとう	truth; reality	
白	しろ	white	
切符	きっぷ	ticket	
側	そば	near, close, beside, by the side of	
勤める	つとめる	to work (for); to be employed; to serve (as)	
専門	せんもん	specialty; subject of study	
下手	へた	not good at	
一昨年	おととし, いっさくねん	the year before last	
厚い	あつい	thick; bulky	
～匹	～ひき	counter for small animals (cats, insects, etc.)	
暖かい	あたたかい	warm	
玄関	げんかん	entranceway; front door; area where shoes are kept	
問題	もんだい	problem; question	
呼ぶ	よぶ	call; name; invite	
渡る	わたる	cross; ford; go across	
熱い	あつい	hot (objects)	
達	たち	plural marker for some words	
荷物	にもつ	baggage; load	
台所	だいどころ	kitchen	
夕方	ゆうがた	evening; dusk	
郵便局	ゆうびんきょく	post office	
分かる	わかる	to understand	
借りる	かりる	to borrow; to rent	
今晩	こんばん	this evening; tonight	
財布	さいふ	purse; wallet	
写真	しゃしん	photograph	
何故	なぜ	why; for what reason	
毎晩	まいばん	every evening	
野菜	やさい	vegetable	
生徒	せいと	pupil; student	
上げる	あげる	to raise; to give; to do for; to elevate	
村	むら	village; hamlet	
大使館	たいしかん	embassy	
意味	いみ	meaning; significance	
返す	かえす	return (something); repay	
公園	こうえん	park; public garden	
宇宙	うちゅう	universe; space	
七つ	ななつ	seven (things)	
重い	おもい	heavy	
両親	りょうしん	parents	
遊ぶ	あそぶ	to play	
置く	おく	put; leave	
窓	まど	window; windowpane	
春	はる	spring	
鉛筆	えんぴつ	pencil	
皆さん	みなさん	everybody; ladies and gentlemen	
半分	はんぶん	half	
今朝	けさ	this morning	
暑い	あつい	hot (weather); warm	
此方	こちら	here; this way; this person	
初め	はじめ	beginning	
毎週	まいしゅう	every week	
警官	けいかん	police officer; policeman	
冬	ふゆ	winter	
立つ	たつ	to stand; to rise	
晴れる	はれる	be sunny; clear up	
～冊	～さつ	counter for books, volumes, etc.	
宿題	しゅくだい	homework	
グラム	グラム	gram	
昨日	きのう, さくじつ	yesterday	
渡す	わたす	carry across; hand over	
難しい	むずかしい	difficult	
大丈夫	だいじょうぶ	alright; OK; no problem	
狭い	せまい	narrow; confined	
咲く	さく	to bloom	
自転車	じてんしゃ	bicycle	
半	はん	half (usually suffix); odd number	
取る	とる	to take; to pick up; to harvest; to earn; to choose; to steal; to take off (one's glasses, etc.)	
教える	おしえる	teach; tell	
病気	びょうき	illness	
服	ふく	clothes	
隣	となり	next to; neighboring house	
どんな	どんな	what kind of ...	
橋	はし	bridge	
読む	よむ	to read	
夜	よる,よ	night; evening	
毎朝	まいあさ	every morning	
