大事 daiji
両方 ryouhou
技術 gijutsu
経験 keiken
技術者 keikensha
必要 hitsuyou
絶対 zettai
社長 shachou
無理 muri
朝ご飯 asagohan
埋め合わせ umeawase
全然 zenzen
実践 jissen
文法 bunpou
思い出す omoidasu
終わる owaru
君 kimi
試す tamesu
鋭い surudoi
思う omou
住む sumu
一生懸命 isshoukenmei
演奏 ensou
卒業 sotsugyou
落とす otosu
調子 choushi
可笑しい okashii
捕まえる tsukamaeru
掴む tsukamu
運転 unten
運転免許 untenmenkyo
親 oya
海外旅行 kaigairyokou
地震 jishin
地震学 jishingaku
興味 kyoumi
無事 buji
願う negau
歌詞 kashi
簡単 kantan
~年代 nendai
場合 baai
可能性 kanousei
含まれる fukumareru
添削 tensaku
専門家 senmonka
韓国料理 kankokuryouri
命 inochi
壊す kowasu
心臓 shinzou
瞬間 shunkan
払う harau
美味しい oishii
趣味 shumi
薬 kusuri
身長 shinchou
合格 goukaku
不合格 fugoukaku
勘弁 kanben
動物園 doubutsuen
笑顔 egao
言い訳 iiwake
恥ずかしい hazukashii
恥ずかしがり屋 hazukashigariya
易しい yasashii
優しい yasashii
約束 yakusoku
守る mamoru
約束を守る yakusoku wo mamoru
式場 shikijou
自動車学校 jidoushagakkou
通う kayou
調べる shiraberu
最近 saikin
数学 suugaku
数学者 suugakusha
足る taru
物足りない monotarinai
出発 shuppatsu
出発時間 shuppatsujikan
到着 touchaku
到着時刻 touchakujikoku
賑やか nigiyaka
二日酔 futsukayoi
真っ直ぐ massugu
沢山 takusan
喋る shaberu
心 kokoro
幸せ shiawase
戻る modoru
朝飯 asameshi
出身 shusshin
ご飯 gohan
焼き鳥 yakitori
焼肉 yakiniku
風邪薬 kazegusuri
寿司 sushi
下らない kudaranai
詰まらない tsumaranai
事務所 jimusho
息子 musuko
娘 musume
勿論 mochiron
妻 tsuma
大抵 taitei
試合 shiai
負ける makeru
素敵 suteki
美術館 bijutsukan
展覧会 tenrankai
作品 sakuhin
下さい kudasai
偶に tamani
終電 shuuden
終電車 shuudensha
申す mousu
息子さん musukosan
娘さん musumesan
家内 kanai
奥さん okusan
得意 tokui
苦手 nigate
試験 shiken
心配 shinpai
浴衣 yukata
電池 denchi
扇子 sensu
人形 ningyou
時計 tokei
足 soku
林檎 ringo
携帯 keitai
朝寝坊 asanebou
誕生日 tanjoubi
用事 youji
ご存じ gozonji
信号 shingou
バス停 basutei
劇場 gekijou
博物館 hakubutsukan
名刺 meishi
道 michi
歩道橋 hodoukyou
横断歩道 oudanhodou
折り紙 origami
反対 hantai
離婚 rikon
美しい utsukushii
真面目 majime
普通 futsuu
肩 kata
四角い shikakui
髪 kami
金髪 kinpatsu
喉 nodo
素晴らしい subarashii
不愉快 fuyukai
出張 shucchou
最初 saisho
以上 ijou
数字 suuji
新幹線 shinkansen
中止 chuushi
大阪 oosaka
霧 kiri
片道 katamichi
片道切符 katamichikippu
往復 oufuku
往復切符 oufukukippu
同僚 douryou
季節 kisetsu
霊 rei
気温 kion
余裕 yoyuu
作家 sakka
警察官 keisatsukan
消防士 shouboushi
将来 shourai
世界 sekai
予報 yohou
天気予報 tenkiyohou
秒 byou
漫画 manga
和食 washoku
例えば tatoeba
殆ど hotondo
週末 shuumatsu
今週末 konshuumatsu
平日 heijitsu
失礼 shitsurei
御苦労 gokurou
御苦労様 gokurousama
僕 boku
迎え mukae
迎える mukaeru
生活 seikatsu
お風呂 ofuro
予約 yoyaku
説明 setsumei
規則 kisoku
女性 josei
男性 dansei
別 betsu
別々 betsubetsu
職員室 shokuinshitsu
選ぶ erabu
決める kimeru
門限 mongen
探す sagasu
残念 zannen
転勤 tenkin
見つける mitsukeru
行う okonau
赤ちゃん akachan
どうやら
思える omoeru
持てる moteru
受ける ukeru
突然 totsuzen
営業 eigyou
部長 buchou
教科書 kyoukasho
動詞 doushi
削る kezuru
進む susumu
客 kyaku
お客様 okyakusama
追加 tsuika
謙遜 kenson
会議 kaigi
会議室 kaigishitsu
出席 shusseki
連絡 renraku
考える kangaeru
記事 kiji
完璧 kanpeki
解釈 kaishaku
届く todoku
銀河 ginga
学ぶ manabu
心温まる kokoro atatamaru
梅雨 tsuyu
最悪 saiaku
蝶 chou
国内 kokunai
気持ち kimochi
値段 nedan
半ば nakaba
最善 saizen
最高 saikou
梅雨明け tsuyuake
梅雨入り tsuyuiri
落ちる ochiru
行 gyou
空ける akeru
内 uchi
手伝う tetsudau
送る okuru
列 retsu
電気屋 denkiya
急 kyuu
是非 zehi
是非共 zehitomo
平気 heiki
盛大 seidai
送別会 soubetsukai
去る saru
開く hiraku
下さる kudasaru
感謝 kansha
親切 shinsetsu
お世話 osewa
お世話になる osewa ni naru
お正月 oshougatsu
挨拶 aisatsu
元旦 gantan
年賀状 nengajou
初詣 hatsumoude
神社 jinja
お年玉 otoshidama
福袋 fukubukuro
皮膚 hifu
制服 seifuku
着替える kigaeru
昔 mukashi
正しい tadashii
大統領 daitouryou
小学校 shougakkou
視察 shisatsu
実際 jissai
教壇 kyoudan
悲劇的 higekiteki
轢く hiku
損失 sonshitsu
夫妻 fusai
撃墜 gekitsui
理由 riyuu
事故 jiko
手短 temijika
表現 hyougen
以下 ika
見落とす miotosu
助かる tasukaru
英語版 eigoban
能力 nouryoku
判断 handan
力 chikara
政府 seifu
奨学金 shougakukin
お皿 osara
工場長 koujouchou
大切にする taisetsu ni suru
温かい atatakai
住所 juusho
餌 esa
御神籤 omikuji
禿げ頭 hageatama
禿げる hageru
警備員 keibiin
発音 hatsuon
代わり kawari
人力車 jinrikisha
直す naosu
途中 tochuu
泣く naku
何時までも itsumademo
怒る okoru
動く ugoku
足りる tariru
名詞 meishi
辞書形 jishokei
否定形 hiteikei
幼稚園 youchien
中学校 chuugakkou
順番 junban
続き tsudzuki
続ける tsudzukeru
投稿 toukou
言語 gengo
検出 kenshutsu
呼び出す yobidasu
受付 uketsuke
飛び出す tobidasu
とおり toori
出社 shussha
返る kaeru
変える kaeru
代える kaeru
転ぶ korobu
良さげ yosage
嘘 uso
吐く tsuku
嘘を吐く uso wo tsuku
奢る ogoru
指輪 yubiwa
夫 otto
残る nokoru
引っ越し hikkoshi
やっと yatto
濡れる nureru
濡らす nurasu
助ける tasukeru
文書 bunsho
全て subete
提供 teikyou
感じ kanji
感じる kanjiru
ぶらぶら burabura
街 machi
高速 kousoku
道路 douro
高速道路 kousokudouro
登録 touroku
喜び yorokobi
お疲れ様 otsukare sama
世直し yonaoshi
失敗 shippai
切り替える kirikaeru
丁寧語 teineigo
尊敬語 sonkeigo
謙譲語 kenjougo
鉄拳 tekken
楽しむ tanoshimu
加える kuwaeru
付け加える tsukekuwaeru
言い出す iidasu
初心者 shoshinsha
誤る ayamaru
在庫 zaiko
処分 shibun
兼ねる kaneru
可能 kanou
季節外れ kisetsuhazure
詐欺 sagi
目的 mokuteki
販売 hanbai
除く nozoku
基本 kihon
的 teki
基本的 kihonteki
中身 nakami
定価 teika
価値 kachi
確認 kakunin
詳しい kuwashii
合計 goukei
金額 kingaku
消費 shouhi
消費者 shouhisha
蛇足 dasoku
習慣 shuukan
理由 riyuu
確か tashika
確かに tashika ni
必ず kanarazu
必ずしも kanarazushimo
限る kagiru
要は youha
に取って ni totte
結局 kekkyoku
無駄 muda
付く zuku
品物 shinamono
直訳 chokuyaku
意訳 iyaku
翻訳 hon'yaku
冠詞 kanshi
概念 gainen
主人 shujin
盗む nusumu
犯人 han'nin
遅れる okureru
お待ち遠様 omachidoosama
吃驚 bikkuri
駄目 dame
怠い darui
富士山 fujisan
原宿 harajuku
北海道 hokkaidou
本州 honshuu
如何 ikaga
行き成り ikinari
頂ける itadakeru
致す itasu
塾 juku
柔道 juudou
壁 kabe
畏まりました kashikomarimashita
可哀相 kawaisou
屹度 kitto
交換 koukan
呉れる kureru
九州 kyuushuu
御存知 gozonji
お陰様で okagesamade
申す moushimasu
沖縄 okinawa
御先 osaki
お先に失礼します osaki ni shitsurei shimasu
理解 rikai
参加 sanka
札幌 sapporo
更に sara ni
刺身 sashimi
仕舞う shimau
信じられない shinjirarenai
新鮮 shinsen
都庁 tochou
所で tokorode
兎に角 tonikaku
取りあえず toriaezu
積もり tsumori
野球 yakyuu
野球場 yakyuujou
前夜 zen'ya
予定 yotei
宜しく yoroshiku
怪我 kega
蹴る keru
さっき sakki
上る noboru
下りる oriru
儘 mama
熱 netsu
似合う niau
貯金 chokin
増える fueru
丁寧 teinei
歯医者 haisha
咳 seki
怪我をする kega wo suru
火傷 yakedo
火傷する yakedo suru
骨 hone
骨折 kossetsu
痒い kayui
診察する shinsatsu suru
入院する nyuuin suru
検札 kensatsu
手術 shujutsu
手術する shujutsu
治る naoru
病気が治る byouki ga naoru
退院 taiin
退院する taiin suru
薬局 yakkyoku
錠剤 jouzai
粉 kona
粉薬 konagusuri
塗る nuru
塗り薬 nurigusuri
光栄 kouei
存じ zonji
存じる zonjiru
訂正 teisei
嬉しい ureshii
気を悪くする ki wo waruku suru
誉める homeru
情報 jouhou
出会う deau
文化 bunka
人生 jinsei
起こる okoru
購入 kounyuu
購入する kounyuu suru
甘える amaeru
ぐだぐだ gudaguda
きちんと kichanto
伝わる tsutawaru
一般に ippan ni
取り急ぎ toriisogi
部分 bubun
頂く itadaku
消化 shouka
消化する shouka suru
動画 douga
改めて aratamete
返信 henshin
件 ken
母語 bogo
存在 sonzai
心象 shinshou
学習 gakushuu
遠慮 enryo
サボる saboru
記録 kiroku
残す nokosu
考察 kousatsu
口語 kougo
堅い katai
実感 jikkan
思考 shikou
入れ替わる irekawaru
入れ替え irekawae
入れ換える irekawaeru
のんびり nonbiri
不味い mazui
顔写真 kaoshashin
不躾 bushitsuke
斜視 shashi
髭 hige
本人 hon'nin
特に toku ni
当たり atari
それ故に sore yue ni
活用 katsuyou
話者 washa
数 kazu
大体 daitai
東京都 toukyouto
本名 honmyou
値 atai
純 jun
通 tsuu
入力 nyuuryoku
登場 toujou
人物 jinbutsu
登場人物 toujoujinbutsu
夫婦 fuufu
勝手 katte
略す ryakusu
間 ma
表情 hyoujou
相手 aite
想像 souzou
渋い shibui
直面 chokumen
打つかる butsukaru
単語表 tangohyou
馬鹿 baka
拙い tsutanai
写す utsusu
書き写す kakiutsusu
通り toori
補足 hosoku
微妙 bimyou
一まず hitomazu
流す nagasu
風貌 fuubou
物言い monoii
奥深い okufukai
内面 taimen
にじみ出る nijimideru
味わい ajiwai
深さ fukasa
褒め言葉 homekotoba
に対して ni taishite
醸し出す kamoshidasu
換える kaeru
言い換える iikaeru
喜ぶ yorokobu
お世辞 oseji
具合 guai
完全 kanzen
年齢 nenrei
年齢層 nenreisou
驚く odoroku
お互い otagai
恐らく osoraku
汲む kumu
汲み取る kumitoru
後者 kousha
前者 zensha
文字通り mojidoori
現す arawasu
旅行業者 ryokougyousha
意思 ishi
医学 igaku
入院 nyuuin
集まる atsumaru
欧州連合 oushuurengou
移民 imin
手助け tedasuke
滞在 seizai
政治屋 seijiya
政治家 seijika
国境 kokkyou
役 yaku
役に立つ yaku ni tatsu
真 shin
真ん中 man'naka
運ぶ hakobu
沸かす wakasu
お湯 oyu
腕 ude
天才 tensai
解く toku
成績 seiseki
気が合う ki ga au
折角 sekkaku
性格 seikaku
筈 hazu
紹介 shoukai
復旧 fukkyuu
作業 sagyou
復旧作業 fukkyuusagyou
具体的 gutaiteki
失敗する shippai suru
再起動 saikidou
状態 joutai
出荷 shukka
戻す modosu
用 you
前後 zengo
逆 gyaku
対する tai suru
に対する ni tai suru
賞味 shoumi
期限 kigen
賞味期限 shoumi kigen
袋 fukuro
記載 kisai
記載する kisai suru
居る oru
開封 kaifuu
風味 fuumi
損なう sokonau
早めに hayame ni
召し meshi
上がる agaru
召し上がる meshiagaru
移行 ikou
支援 shien
抱える kakaeru
よって yotte
異なる kotonaru
安全 anzen
保障 hoshou
関連 kanren
法案 houan
安全保障 anzen houshou
安保 anpo
議論 giron
とりわけ toriwake
集団 shuudan
自衛 jiei
集団的自衛権 shuudantekijieiken
関心事 kanshinji
気にする ki ni suru
わけ wake
自信 jishin
無し nashi
拝啓 haikei
敬具 keigu
結ぶ musubu
かしこまる kashikomaru
以外 igai
表記 hyouki
組 kumi
立てる tateru
組み立てる kumitateru
準備 junbi
録画 rokuga
片付ける katadzukeru
騒ぐ sawagu
済む sumu
構う kamau
長旅 nagatabi
首都 shuto
遅刻 chikoku
寝坊 nebou
どうせ douse
飲食物 inshokubutsu
祈る inoru
夢 yume
彼岸 higan
墓地 bochi
蝋燭 rousoku
鶴 tsuru
含める fukumeru
表紙 hyoushi
最も motto mo
機会 kikai
気になる ki ni naru
気掛かり kigakari
完了 kanryou
日記 nikki
流行る hayaru
選手 senshu
どんどん dondon
曖昧 aimai
相変わらず aikawarazu
饅頭 manjuu
同意 doui
番組 bangumi
妄想 mousou
編 hen
放送 housou
放送する housou suru
ご覧ください goran kudasa
買い替える kaikaeru
仕様 shiyou
撮影 satsuei
超 chou
趣旨 shushi
西部 seibu
街 gai
伝統 dentou
伝統的 dentouteki
として toshite
預ける azukeru
大好物 daikoubutsu
偶然 guuzen
意識する ishiki suru
目撃 mokugeki
現象 genshou
字幕 jimaku
内容 naiyou
深い fukai
興味深い kyoumibukai
返事する henji suru
括る kukuru
弧 ko
括弧 kakko
位 kurai
位 i
置く oku
位置 ichi
移る utsuru
移動する idou suru
進める susumeru
関心 kanshin
向く muku
手練 shuren
奇術 gijutsu
割ける sakeru
以来 irai
既に sude ni
終える oeru
元 gen
不自然 fushizen
区切る kugiru
対 tsui
対 tai
象 shou
象 zou
対象 taishou
特別 tokubetsu
権 ken
権利 kenri
権力 kenryoku
特権 tokken
目覚める mezameru
目覚まし mezamashi
目覚まし時計 mezamashidokei
席 seki
工場 koujou
文字 moji
