もちろん	もちろん	Definitely!	
購入	こうにゅう	purchase	
素麺	そうめん	fine white noodles	
是非共	ぜひとも	by all means (with sense of not taking "no" for an answer)	
冠詞	かんし	article	
尊敬語	そんけいご	honorific language	
錠剤	じょうざい	pill; lozenge; tablet	
皮膚	ひふ	skin	
塗る	ぬる	spread on; paint	
塗り薬	ぬりぐすり	liniment; ointment; salve	
残す	のこす	to leave; to reserve; to leave undone	
そろそろ	そろそろ	soon; quietly; it is about time to...	
物凄く	ものすごく	extremely	
確認	かくにん	confirmation	
否定形	ひていけい	negative form	
光栄	こうえい	honour; honor; glory; privilege	
街	まち	town; neighborhood; street	
優勝	ゆうしょう	victory; championship	
本州	ほんしゅう	Honshu (island)	
税金	ぜいきん	tax	
結果	けっか	result; outcome	
出社	しゅっしゃ	going to work (e.g. in the morning); coming to work	
掴む	つかむ	to grip; to grab; to catch hold of	
同情	どうじょう	sympathy; compassion	
後輩	こうはい	junior (at work or school)	
調査	ちょうさ	investigation; inquiry	
どちらでもいいです	どちらでもいいです	Both are fine	
奥様	おくさま	married woman; someone's wife	
復習	ふくしゅう	review; revision	
付く	づく	to become (a state, condition, etc.)	
酷い	ひどい	cruel; severe	
九州	きゅうしゅう	Kyushu (island)	
バイト	バイト	part-time job	
骨	ほね	bone; frame; spirit	
購入する	こうにゅうする	purchase	
詐欺	さぎ	swindle; con game	
理想	りそう	ideal	
景色	けしき	scenery; landscape	
栗鼠	りす	squirrel	
正しい	ただしい	correct; righteous; lawful	
我慢	がまん	patience; self-restraint	
秘密	ひみつ	secret; privacy	
情報	じょうほう	information	
お待ち遠様	おまちどおさま	I'm sorry to have kept you waiting	
付き合う	つきあう	associate with; keep company with; come along; go out (date)	
読んできてください	よんできてください	Read it before class	
連絡	れんらく	connection; communication	
視察	しさつ	inspection; observation	
販売	はんばい	sale; selling	
足りる	たりる	to be sufficient; to be enough	
孔雀	くじゃく, くざく	peafowl (peacock, female peahen,　young peachick)	
世話をする	せわをする	take care of someone	
職員室	しょくいんしつ	staff room	
お湯を沸かす	おゆをわかす	boil water	
表情	ひょうじょう	facial expression	
寝る	ねる	to sleep; to go to bed	
天麩羅	てんぷら	tempura; Japanese deep-fried breaded food	
さっき	さっき	some time ago; a little while ago	
除く	のぞく	to rid of; to exclude	
慣れる	なれる	"to get used to; to grow accustomed to; to become familiar with;
to become skilled in"	
～て居る	～ておる	humble version of 〜ている	
環境	かんきょう	environment; surroundings	
出来れば	できれば	if possible	
卵	たまご	egg	
怒る	おこる, いかる	get angry; scold	
世界	せかい	world	
鮫	さめ	shark	
行き成り	いきなり	all of a sudden; without warning	
処分	しょぶん	disposal; dealing (with a problem); punishment; putting down (e.g. animal)	
可能	かのう	possible; potential	
沈菜	キムチ	spicy Korean pickled cabbage; kimchi	
着物	きもの	clothes; kimono	
係の者	かかりのもの	person in charge	
中身	なかみ	content; interior	
支店	してん	branch (of a business, etc.)	
大勢	おおぜい	large numbers; a lot of (people)	
火傷する	やけどする	get burned	
やった	やった	hooray (lit: I or we did it); whee; hot dog!; you beaut; whacko; yowzer!; yes!	
喉が渇く	のどがかわく	(become) thirsty	
文句を言う	もんくをいう	complain	
体育	たいいく	physical training; physical education	
前夜	ぜんや	last night; the previous night	
実践	じっせん	practice; put into practice	
株	かぶ	stocks; shares; stump (of tree)	
両方	りょうほう	both	
生える	はえる	grow; spring up	
別荘	べっそう	villa; vacation home	
お腹が空く	おなかがすく	become hungry	
履歴書	りれきしょ	personal history; resume	
呼び出す	よびだす	call; page	
淹れる	いれる	make tea, coffee, etc.	
奨学金	しょうがくきん	scholarship; fellowship	
結構	けっこう	wonderful; quite; good enough	
失敗	しっぱい	failure; mistake	
黄色い	きいろい	yellow	
パンク	パンク	puncture	
久し振り	ひさしぶり	after a long time	
推薦状	すいせんじょう	letter of recommendation	
感情	かんじょう	emotion; feeling; feelings; sentiment	
診察する	しんさつする	to examine	
提供	ていきょう	offer; provide; program sponsoring;  furnishing; provisioning; supply	
粉薬	こなぐすり	powder medicine	
遣る	やる	do (informal); give; send; run (a store); perform	
目的	もくてき	purpose; goal; aim	
概念	がいねん	general idea; concept	
送別会	そうべつかい	farewell party	
億	おく	hundred million	
訂正	ていせい	correction; amendment	
居なくなる	いなくなる	disappear	
殴る	なぐる	to strike; to hit	
所で	ところで	by the way	
僕	ぼく	I (generally male)	
悪口を言う	わるくちをいう	make a derogatory remark; speak ill of	
日記	にっき	diary	
横断歩道	おうだんほどう	pedestrian crossing; crosswalk	
種	たね	seed	
入院する	にゅういんする	to be hospitalized	
喜び	よろこび	joy; happiness	
脱ぐ	ぬぐ	to take off (clothes, shoes, etc.)	
起こる	おこる	to occur; to happen	
玄米	げんまい	unpolished rice; unmilled rice; brown rice	
次発	じはつ	departing second	
面接	めんせつ	interview	
亡くす	なくす	lose something; lose someone	
産婦人科	さんふじんか	obstetrics and gynecology	
客	きゃく	visitor; customer	
運転免許	うんてんめんきょ	driver's license	
塩	しお	salt	
速達	そくたつ	special delivery; express mail	
認める	みとめる	to recognize; to observe; to notice; to admit	
居る	おる	be present; stay (humble)	
注射	ちゅうしゃ	injection; shot	
以下	いか	not exceeding; and downward; the below-mentioned; the following; the rest	
苛める	いじめる	to tease; to torment; to persecute	
自分で	じぶんで	(do something) by oneself	
びっくりする	びっくりする	to be surprised	
どちら	どちら	which (between two); which way	
丼	どんぶり	bowl of rice with food on top	
札幌	さっぽろ	Sapporo (city)	
足の骨を折りました	あしのほねをおりました	I broke my leg	
眼鏡	めがね	glasses; judgment	
退院	たいいん	discharge from a hospital	
空揚	からあげ	fried (e.g. potatoes, chicken)	
完璧	かんぺき	perfection; perfect	
大統領	だいとうりょう	president	
乗車券	じょうしゃけん	railway ticket; bus ticket	
人生	じんせい	human life; life	
初詣	はつもうで	one's first visit to a shrine in the New Year	
触る	さわる	touch; feel	
ご主人	ごしゅじん	(someone else's) husband	
在庫	ざいこ	inventory; stock; stockpile	
緊張	きんちょう	tension; mental strain; nervousness	
新鮮	しんせん	fresh	
誠に	まことに	indeed; truly; very	
納豆	なっとう	natto (fermented soybeans)	
初め	はじめ	beginning	
痒い	かゆい	itchy	
英語版	えいごばん	English version; non-Japanese version	
大阪	おおさか	Osaka (place name)	
チャーハン	チャーハン	Chinese-style fried rice	
初めて	はじめて	for the first time	
加える	くわえる	to add; to add up; to sum up; to append; to annex	
同僚	どうりょう	colleague; coworker	
怠い	だるい	sluggish; feel heavy; languid; dull	
改札	かいさつ	ticket gate	
霊	れい	soul; spirit; departed soul; ghost	
牛丼	ぎゅうどん	bowl of rice topped with beef	
じゃあ	じゃあ	well...	
病気	びょうき	illness	
海苔	のり	laver (edible seaweed)	
存じ	ぞんじ	knowing	
部下	ぶか	subordinate	
必ずしも	かならずしも	(not) always; (not) necessarily	
～名様	～めいさま	party of ... people	
最初	さいしょ	beginning; outset; first; onset	
能力	のうりょく	ability; capacity	
半ば	なかば	middle; halfway	
不味い	まずい	awful; troublesome; unappetizing	
痛い	いたい	painful	
太い	ふとい	thick; fat	
蹴る	ける	kick	
打つ	うつ	to hit; to strike	
金額	きんがく	amount of money; sum	
変える	かえる	change	
会議	かいぎ	conference; meeting	
初めは	はじめは	at first	
火傷	やけど	burn	
万年筆	まんねんひつ	fountain pen	
仰る	おっしゃる	to say; to speak; to tell (honorific)	
星	ほし	star; suspect (police slang)	
