怠い	だるい,たるい	[adj.; us. kana] sluggish; languid; listless; heavy (heart, legs, etc.); dull // [us. kana; slang] bothersome; tiresome
説明	せつめい	[n.; suru; no-n.] explanation; exposition
野球場	やきゅうじょう	[n.] baseball ground; baseball stadium
仕舞う	しまう	[v5u.; vt.; us. kana] to finish; to stop; to end; to put an end to; to bring to a close // [us. kana] to close (a business, etc.); to close down; to shut down; to shut up // [us. kana] to put away; to put back; to keep; to store // [auxv.; v5u.; us. kana] to finish ...; to do ... completely
詰らない	つまらない	[adj.; us. kana] dull; uninteresting; boring; tedious // [us. kana] insignificant; unimportant; trifling; trivial; worthless // [us. kana] absurd; foolish; silly; stupid // [us. kana] useless; pointless; disappointing
遊ぶ	あそぶ,あすぶ	[v5bu.; vi.] to play; to enjoy oneself; to have a good time // [n.] to mess about (with alcohol, gambling, philandery, etc.) // [n.] to be idle; to do nothing; to be unused // [n.] to go to (for pleasure or for study) // [n.] to intentionally throw a ball to lower the batter's concentration
変わる	かわる	[v5ru.; vi.] to change; to be transformed; to be altered; to vary // [n.] to move to // [n.] to be different; to be uncommon; to be unusual
変える	かえる	[v1.; vt.] to change; to alter; to transform; to convert; to turn; to vary // [n.] to reform; to revise; to amend
降りる	おりる	[v1.; vi.] to descend (e.g. a mountain); to go down; to come down // [n.] to alight (e.g. from bus); to get off; to disembark; to dismount // [n.] to step down; to retire; to give up; to quit // [n.] to be granted; to be issued; to be given // [n.] to form (of frost, dew, mist, etc.) // [n.] to be passed (from the body; e.g. of a roundworm)
降る	ふる	[v5ru.; vi.] to precipitate; to fall (e.g. rain)
構う	かまう	[v5u.] to mind; to care about; to be concerned about // [us. kana] to care for; to look after // [n.] to prepare for // [n.] to interfere with; to meddle in // [n.] to tease
再起動	さいきどう	[n.; suru] restart; reboot
腐らす	くさらす	[v5su.; vt.] to spoil; to rot; to corrode
左折	させつ	[n.; suru] turning to the left; left turn
右折	うせつ	[n.; suru] turning to the right; right turn
作文	さくぶん	[n.; suru] writing (an essay, prose, etc.); composition // [n.] formal writing with little real meaning
下さる	くださる	[v5aru.; sonkeigo; us. kana] to give; to confer; to bestow // [sonkeigo; us. kana] to kindly do for one; to oblige; to favour; to favor
郵便局	ゆうびんきょく	[n.] post office
昼ご飯	ひるごはん	[n.] lunch; midday meal
お風呂に入る	おふろにはいる	[phrase; v5ru.] to take a bath
昼間	ひるま,ちゅうかん	[advn.; tempn.] daytime; during the day; time from sunrise until sunset; diurnal period
食堂	しょくどう	[n.] dining room; dining hall; cafeteria; messroom // [n.] restaurant; eatery; snack bar; diner
食堂	じきどう	[n.] dining hall (at a temple)
信じられない	しんじられない	[adj.] incredible; unbelievable; implausible
何時も	いつも	[adv.; n.; us. kana] always; usually; every time // [us. kana] never
度々	たびたび	[adv.; us. kana] often; again and again; over and over again; repeatedly; frequently
教室	きょうしつ	[n.] classroom // [n.] department; laboratory // [n.] single-room school; small school
に就いて	について	[phrase; us. kana] concerning; regarding // [us. kana] per (e.g. 100 yen per person); for every
毎晩	まいばん	[advn.; tempn.] every night
脱ぐ	ぬぐ	[v5gu.; vt.] to take off (clothes, shoes, etc.); to undress
静かに	しずかに	[adv.] calmly; quietly; gently; peacefully // [phrase] be quiet!
何処	どこ,いずこ,いずく,いづこ,いどこ	[pron.; no-n.; us. kana] where; what place // [n.] how much (long, far); what extent
他	た,ほか	[n.; no-n.] other (place, thing, person); the rest // [us. kana] outside; beyond // [advn.; us. kana] nothing except; nothing but; nothing apart from; nothing aside from; no choice (but to) // [n.] besides...; in addition to...
大き過ぎる	おおきすぎる	[v1.] to be oversized (overloud, etc.)
出会い	であい	[n.] meeting; rendezvous; encounter // [n.] confluence
御免	ごめん	[interj.; n.; us. kana] your pardon; declining (something); dismissal; permission
為さる	なさる	[v5aru.; vt.; sonkeigo; us. kana] to do
御免なさい	ごめんなさい	[phrase; us. kana] I beg your pardon; excuse me
うっかり	うっかり,ウッカリ	[adv.; suru; n.; ono.] carelessly; thoughtlessly; inadvertently
充電	じゅうでん	[n.; suru] charging (electrically) // [n.] electrification
充電器	じゅうでんき	[n.] (battery) charger
場所を取る	ばしょをとる	[phrase; v5ru.] to take up space; to occupy space
姉	あね	[n.; kenjougo] older sister; elder sister
結婚	けっこん	[n.; no-n.; suru] marriage
未だ	まだ,いまだ	[adv.; us. kana] as yet; hitherto; only; still // [us. kana] not yet (with negative verb) // [us. kana] more; besides // [adjn..; us. kana] unfinished; incomplete; not yet finished with
先週	せんしゅう	[advn.; tempn.] last week; the week before
生け花	いけばな,せいか	[n.] flower arrangement // [n.] fresh flowers
宿題	しゅくだい	[n.] homework
ご両親	ごりょうしん	[n.] your (honorable, honourable) parents
祖母	そぼ,ばば,おおば,おば,うば	[n.; no-n.] grandmother
お祖母さん	おばあさん,おばーさん,オバアサン,おバアさん,オバーサン,おバーさん	[n.; us. kana] grandmother // [us. kana] old woman; female senior citizen
祖父	そふ,じじ,じい,おおじ,おじ,そぶ	[n.; no-n.] grandfather // [n.] old man // [n.] kyogen mask used for the role of an old man
お祖父さん	おじいさん	[n.; us. kana] grandfather // [us. kana] male senior-citizen
毎週	まいしゅう	[advn.; tempn.] every week
二回	にかい	[n.; no-n.] twice
時々	ときどき	[adv.; n.; no-n.] sometimes; at times
散歩	さんぽ	[n.; suru] walk; stroll
今週	こんしゅう	[advn.; tempn.] this week
姉ちゃん	ねえちゃん	[n.] elder sister; girl
お姉ちゃん	おねえちゃん	[n.; fam.] familiar form of "older sister" // [fam.] form of address for young adult female
お祖父ちゃん	おじいちゃん	[n.; coll.; us. kana] grandpa; granddad
