埼玉	さいたま	[n.] Saitama (city)
県	けん	[n.] prefecture (of Japan) // [n.] county (of China)
県	あがた	[n.] territory (pre-Taika: under the Yamato court; Heian: under a provincial governor, etc.) // [arch.] countryside
埼玉県	さいたまけん	[n.] Saitama prefecture (Kanto area)
町	まち,ちょう	[n.] town; block; neighbourhood; neighborhood // [n.] street; road // [n.] 109.09 m // [n.] 0.99 hectares // [n.] downtown; main street
景色	けしき,けいしょく	[n.; no-n.] scenery; scene; landscape
見る	みる	[v1.; vt.] to see; to look; to watch; to view; to observe // [n.] to look over; to look on; to assess; to examine; to judge // [us. kana] to look after; to keep an eye on; to take care of // [n.] to view (e.g. flowers, movie) // [auxv.; v1.; us. kana] to try; to try out; to test // [us. kana] to see that...; to find that...
ながら		[part.; us. kana] while; during; as // [us. kana] while; although; though; despite; in spite of; notwithstanding // [us. kana] all; both // [us. kana] as (e.g. "as always", "as long ago"); in (e.g. "in tears")
川	かわ,がわ	[n.] river; stream // [suffix] the .... river; (suffix used with the names of rivers)
新しい	あたらしい	[adj.] new; novel; fresh; recent; latest; up-to-date; modern
流れる	ながれる	[v1.; vi.] to stream; to flow (liquid, time, etc.); to run (ink) // [n.] to be washed away; to be carried // [n.] to drift; to float (e.g. clouds); to wander; to stray // [n.] to sweep (e.g. rumour, fire); to spread; to circulate // [n.] to be heard (e.g. music); to be played // [n.] to lapse (e.g. into indolence, despair) // [n.] to pass; to elapse; to be transmitted // [n.] to be called off; to be forfeited // [n.] to disappear; to be removed
では		[conj.; interj.] then; well; so; well then
できる		[v1.; vi.; us. kana] to be able (in a position) to do; to be up to the task // [us. kana] to be ready; to be completed // [us. kana] to be made; to be built // [us. kana] to be good at; to be permitted (to do) // [us. kana] to become intimate; to take up (with somebody) // [us. kana] to grow; to be raised // [us. kana] to become pregnant
ことができる		[phrase; v1.; us. kana] can (do); to be able to (do); can be done; is able to be done
１	いち	[num.; pref.] one // [no-n.; suffix] best // [no-n.] first; foremost // [n.] beginning; start // [n.] bottom string (on a shamisen, etc.)
年	とし	[n.] year // [n.] age; years // [n.] past one's prime; old age
年	ねん	[n.] year (e.g. AD) // [cnt.] counter for years
年	とせ	[cnt.; arch.] counter for years (following a number in the hito-futa-mi counting system)
１年	いちねん,ひととし,ひととせ	[n.] one year; some time ago
３	さん,み	[num.] three // [pref.] tri-
万	ばん	[adv.; pref.] many; all
